Timestamp,Are you currently a student at Concordia University?,What program are you in?,What is your current GPA?,Are you currently in a CO-OP program for your degree?,Have you ever completed an internship related to your program?,How many internships have you completed related to your program?,How have you obtained any of your internships?,Are you currently looking for an internship?,Are you currently looking for an internship or have in the past looked for an internship?,"Being in CO-OP, are you in the process or have you completed an internship related to your program?","Being in CO-OP, how do you go about finding an internship opportunity?",Which of the following describe how you've been searching for internships?,Have you ever gotten to an interview stage in the process of applying to an internship,If so how many interviews have you done in the process of applying for an internship,How often do you practice your program's material outside class related assignments? (In hours per week),"If you use it, how many connections do you have on LinkedIn?"
11/29/2024 0:05:02,Yes,Software Engineering,3.5-4.0,No,No,,,,No,,,,,,0-3,< 200
11/29/2024 1:20:10,Yes,Aerospace Engineering ,2.5-2.9,No,No,,,,No,,,,,,0-3,< 200
11/29/2024 1:42:10,Yes,Computer Engineering,3.0-3.49,Yes,,,,,,No,Applications to job postings,,,,8-10,< 200
11/29/2024 14:42:19,Yes,Accounting,3.5-4.0,No,No,,,,Yes,,,"Personal connections (teachers, relatives, colleagues, friends, etc), Applying to job postings, Networking events",Yes,5,16-20,> 700
11/29/2024 16:11:06,Yes,Aerospace engineering,> 4.0,Yes,,,,,,Yes,"Personal connections (teachers, relatives, colleagues, friends, etc), Applications to job postings, Praying to the Internship gods",,,,16-20,300-399
11/29/2024 18:21:44,Yes,Mechanical Engineering ,2.5-2.9,No,No,,,,Yes,,,"Personal connections (teachers, relatives, colleagues, friends, etc), Networking events",No,0,4-7,< 200
11/30/2024 13:46:41,Yes,Software Engineering,3.5-4.0,No,Yes,1,"Personal connections (teachers, relatives, colleagues, friends, etc), Applications to job postings",Yes,,,,"Personal connections (teachers, relatives, colleagues, friends, etc), Applying to job postings, Networking events",No,0,4-7,500-599
11/30/2024 13:49:25,Yes,Software Engineering,3.5-4.0,Yes,,,,,,Yes,"Personal connections (teachers, relatives, colleagues, friends, etc), Applications to job postings, Social Media/Github Repos",,,,4-7,< 200
11/30/2024 13:52:06,Yes,Software Engineering,3.5-4.0,Yes,,2,"The university aided me in obtaining the internship, Personal connections (teachers, relatives, colleagues, friends, etc), Applications to job postings",No,,Yes,"The university aided me in obtaining the internship, Personal connections (teachers, relatives, colleagues, friends, etc), Applications to job postings",,,,8-10,400-499
11/30/2024 13:53:01,Yes,Sociology,3.0-3.49,No,No,,,,No,,,,,,0-3,0
